Frequency (Hz),Z_real (Ohm),Z_imag (Ohm)
1.0,60.365141464891344,0.5022433233579907
1.1233240329780274,60.339290128233515,0.4897646883376222
1.2618568830660204,60.31438431257428,0.4795364897679649
1.4174741629268053,60.29031933655061,0.47158149149505213
1.5922827933410924,60.26699121330472,0.465935620162358
1.788649529057435,60.244296057901416,0.4626485963444835
2.0092330025650473,60.22212946530064,0.46178465699737276
2.25701971963392,60.200385852625836,0.4634233749715263
2.535364493970112,60.17895775869833,0.46766058176219116
2.8480358684358014,60.15773509290439,0.4746094000806238
3.1992671377973836,60.13660432440416,0.48440139321028663
3.5938136638046276,60.11544760145243,0.4971878384446912
4.0370172585965545,60.0941417891527,0.5131411321677785
4.534878508128582,60.072557412272516,0.5324563343056512
5.094138014816379,60.05055748777105,0.5553528599153131
5.722367659350217,60.02799622938289,0.5820763255367953
6.42807311728432,60.00471760391449,0.6129005575643642
7.220809018385464,59.98055371578171,0.6481297692189012
8.11130830789687,59.95532299268437,0.6881009116399015
9.111627561154892,59.928828141102116,0.7331862030500362
10.235310218990262,59.90085383542827,0.783795837741362
11.497569953977356,59.87116409894802,0.8403808736179359
12.91549665014884,59.83949932842853,0.9034362929927149
14.508287784959395,59.80557290673449,0.9735042260141424
16.297508346206442,59.76906733953303,1.051177319165579
18.30738280295368,59.72962984274419,1.1371022223400038
20.565123083486515,59.68686729689321,1.2319831565552888
23.101297000831593,59.64034047294178,1.3365855098472663
25.95024211399736,59.58955742160806,1.4517393905382596
29.150530628251758,59.53396590483062,1.5783430440624695
32.74549162877728,59.47294473425461,1.7173660108033213
36.78379771828632,59.405793868015984,1.8698518667473036
41.32012400115337,59.33172310459137,2.036920344772377
46.4158883361278,59.249839202429854,2.219768580462416
52.14008287999685,59.15913124844692,2.4196711606980106
58.570208180566674,59.058454099996915,2.6379785740306323
65.79332246575679,58.94650973743498,2.8761135671205107
73.90722033525779,58.8218263929557,3.1355647996299942
83.02175681319744,58.68273537283407,3.417877059767877
93.26033468832199,58.52734557331121,3.7246371540622984
104.76157527896652,58.35351581635909,4.057454419566871
117.68119524349979,58.158825314280236,4.417934629094512
132.19411484660287,57.940542828138916,4.807645879073019
148.4968262254465,57.69559543337005,5.228074880376762
166.81005372000593,57.42053826695633,5.680571938966974
187.3817422860383,57.111527223958895,6.1662828511230945
210.49041445120199,56.764297312075364,6.686065998281234
236.4489412645407,56.37415026579406,7.240393177880957
265.6087782946687,55.93595605135024,7.829233237843835
298.364724028334,55.44417401231155,8.451918500715918
335.1602650938841,54.892900516762154,9.106995388569349
376.49358067924675,54.275950907079306,9.792062707758257
422.9242874389499,53.586984074084626,10.503603808726085
475.0810162102798,52.819677736699546,11.236822310377509
533.6699231206308,51.96796107854904,11.985495145290619
599.4842503189409,51.02630830252371,12.741861006854327
673.4150657750821,49.99009148673599,13.496566249460376
756.463327554629,48.85598362759509,14.238692978801621
849.7534359086438,47.62239309979573,14.95589426131209
954.5484566618337,46.28989972590133,15.634657748569232
1072.2672220103232,44.861651786132526,16.26071041802768
1204.5035402587823,43.343674943551434,16.819563097464158
1353.0477745798062,41.745041027606085,17.297174661599605
1519.9110829529332,40.07784957100396,17.680694511922614
1707.3526474706905,38.356989517117924,17.95922196696627
1917.9102616724888,36.599672176799835,18.12450724319829
2154.4346900318847,34.82475631011257,18.171515292750293
2420.128264794381,33.0519167904132,18.098783621492235
2718.58824273294,31.30073315369593,17.908528051809753
3053.8555088334156,29.589787606298287,17.606482495389912
3430.4692863149194,27.935860479217844,17.20149378737587
3853.5285937105273,26.35329507445738,16.704923274991714
4328.761281083057,24.853577284498822,16.129927203456674
4862.601580065353,23.445144425566788,15.490694963388362
5462.277217684343,22.133408825370605,14.801718365175118
6135.90727341317,20.920959776797993,14.077149510650392
6892.612104349695,19.807894970601325,13.330284208908022
7742.63682681127,18.792229400875897,12.573186857996443
8697.490026177835,17.87033410671384,11.816454787315083
9770.099572992247,17.03736620984061,11.069107136132894
10974.987654930568,16.287662774167693,10.338575844551267
12328.467394420659,15.615081865047818,9.630773597302879
13848.863713938717,15.013283435694865,8.950214377683542
15556.761439304722,14.475949682765805,8.300165331991161
17475.28400007683,13.996949230579455,7.682812754013583
19630.406500402725,13.570452211932077,7.0994293107255535
22051.307399030455,13.191004458889125,6.550533593950818
24770.76355991709,12.853569067397903,6.036036413238461
27825.59402207126,12.553542967082313,5.55537085066847
31257.15849688235,12.286755134795985,5.107605008834423
35111.917342151275,12.04945196689332,4.6915376934997886
39442.06059437656,11.838274218932288,4.30577810114464
44306.21457583878,11.650228917560169,3.9488110466840114
49770.23564332114,11.482658787462611,3.6190494718486894
55908.10182512223,11.333211026730291,3.3148760046269445
62802.914418342465,11.199806699460462,3.034675259696282
70548.02310718645,11.080611578372798,2.776858426359644
79248.2898353917,10.974008942626503,2.539881517187852
89021.50854450393,10.878574596652467,2.322258469264185
100000.0,10.793054206110417,2.1225701142859688
